id,school_id,student_id,class_id,date,status,reason_code,marked_by,marked_at,created_at,updated_at,client_request_id
ATT#SCH01#SCH01-S015#2026-06-24,SCH01,SCH01-S015,SCH01-FORM2NORTH,2026-06-24,PRESENT,,TEACHER_APP,2026-06-24T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S015#2026-06-24
ATT#SCH05#SCH05-S003#2026-07-03,SCH05,SCH05-S003,SCH05-FORM2CENTRAL,2026-07-03,PRESENT,,TEACHER_APP,2026-07-03T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S003#2026-07-03
ATT#SCH01#SCH01-S010#2026-06-15,SCH01,SCH01-S010,SCH01-FORM2NORTH,2026-06-15,PRESENT,,TEACHER_APP,2026-06-15T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S010#2026-06-15
ATT#SCH01#SCH01-S013#2026-06-22,SCH01,SCH01-S013,SCH01-FORM2NORTH,2026-06-22,PRESENT,,TEACHER_APP,2026-06-22T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S013#2026-06-22
ATT#SCH02#SCH02-S006#2026-06-22,SCH02,SCH02-S006,SCH02-FORM3EAST,2026-06-22,PRESENT,,TEACHER_APP,2026-06-22T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S006#2026-06-22
ATT#SCH05#SCH05-S037#2026-06-10,SCH05,SCH05-S037,SCH05-FORM2CENTRAL,2026-06-10,PRESENT,,TEACHER_APP,2026-06-10T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S037#2026-06-10
ATT#SCH05#SCH05-S040#2026-05-19,SCH05,SCH05-S040,SCH05-FORM2CENTRAL,2026-05-19,PRESENT,,TEACHER_APP,2026-05-19T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S040#2026-05-19
ATT#SCH03#SCH03-S022#2026-05-18,SCH03,SCH03-S022,SCH03-FORM1WEST,2026-05-18,PRESENT,,TEACHER_APP,2026-05-18T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S022#2026-05-18
ATT#SCH05#SCH05-S009#2026-06-30,SCH05,SCH05-S009,SCH05-FORM2CENTRAL,2026-06-30,PRESENT,,TEACHER_APP,2026-06-30T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S009#2026-06-30
ATT#SCH02#SCH02-S027#2026-05-05,SCH02,SCH02-S027,SCH02-FORM3EAST,2026-05-05,PRESENT,,TEACHER_APP,2026-05-05T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S027#2026-05-05
ATT#SCH03#SCH03-S004#2026-06-24,SCH03,SCH03-S004,SCH03-FORM1WEST,2026-06-24,PRESENT,,TEACHER_APP,2026-06-24T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S004#2026-06-24
ATT#SCH04#SCH04-S023#2026-06-05,SCH04,SCH04-S023,SCH04-FORM4SOUTH,2026-06-05,PRESENT,,TEACHER_APP,2026-06-05T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S023#2026-06-05
ATT#SCH04#SCH04-S004#2026-05-18,SCH04,SCH04-S004,SCH04-FORM4SOUTH,2026-05-18,PRESENT,,TEACHER_APP,2026-05-18T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S004#2026-05-18
ATT#SCH03#SCH03-S028#2026-06-24,SCH03,SCH03-S028,SCH03-FORM1WEST,2026-06-24,PRESENT,,TEACHER_APP,2026-06-24T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S028#2026-06-24
ATT#SCH02#SCH02-S032#2026-05-05,SCH02,SCH02-S032,SCH02-FORM3EAST,2026-05-05,PRESENT,,TEACHER_APP,2026-05-05T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S032#2026-05-05
ATT#SCH01#SCH01-S004#2026-06-15,SCH01,SCH01-S004,SCH01-FORM2NORTH,2026-06-15,PRESENT,,TEACHER_APP,2026-06-15T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S004#2026-06-15
ATT#SCH05#SCH05-S012#2026-06-19,SCH05,SCH05-S012,SCH05-FORM2CENTRAL,2026-06-19,PRESENT,,TEACHER_APP,2026-06-19T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S012#2026-06-19
ATT#SCH05#SCH05-S010#2026-06-03,SCH05,SCH05-S010,SCH05-FORM2CENTRAL,2026-06-03,PRESENT,,TEACHER_APP,2026-06-03T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S010#2026-06-03
ATT#SCH01#SCH01-S030#2026-05-07,SCH01,SCH01-S030,SCH01-FORM2NORTH,2026-05-07,ABSENT,,TEACHER_APP,2026-05-07T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S030#2026-05-07
ATT#SCH02#SCH02-S027#2026-07-07,SCH02,SCH02-S027,SCH02-FORM3EAST,2026-07-07,ABSENT,,TEACHER_APP,2026-07-07T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S027#2026-07-07
ATT#SCH03#SCH03-S027#2026-05-27,SCH03,SCH03-S027,SCH03-FORM1WEST,2026-05-27,PRESENT,,TEACHER_APP,2026-05-27T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S027#2026-05-27
ATT#SCH05#SCH05-S013#2026-06-12,SCH05,SCH05-S013,SCH05-FORM2CENTRAL,2026-06-12,ABSENT,,TEACHER_APP,2026-06-12T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S013#2026-06-12
ATT#SCH04#SCH04-S003#2026-05-08,SCH04,SCH04-S003,SCH04-FORM4SOUTH,2026-05-08,PRESENT,,TEACHER_APP,2026-05-08T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S003#2026-05-08
ATT#SCH02#SCH02-S006#2026-06-18,SCH02,SCH02-S006,SCH02-FORM3EAST,2026-06-18,PRESENT,,TEACHER_APP,2026-06-18T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S006#2026-06-18
ATT#SCH05#SCH05-S018#2026-05-14,SCH05,SCH05-S018,SCH05-FORM2CENTRAL,2026-05-14,PRESENT,,TEACHER_APP,2026-05-14T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S018#2026-05-14
ATT#SCH01#SCH01-S030#2026-05-20,SCH01,SCH01-S030,SCH01-FORM2NORTH,2026-05-20,PRESENT,,TEACHER_APP,2026-05-20T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S030#2026-05-20
ATT#SCH04#SCH04-S004#2026-06-05,SCH04,SCH04-S004,SCH04-FORM4SOUTH,2026-06-05,PRESENT,,TEACHER_APP,2026-06-05T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S004#2026-06-05
ATT#SCH03#SCH03-S030#2026-05-07,SCH03,SCH03-S030,SCH03-FORM1WEST,2026-05-07,PRESENT,,TEACHER_APP,2026-05-07T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S030#2026-05-07
ATT#SCH03#SCH03-S033#2026-05-26,SCH03,SCH03-S033,SCH03-FORM1WEST,2026-05-26,PRESENT,,TEACHER_APP,2026-05-26T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S033#2026-05-26
ATT#SCH04#SCH04-S001#2026-05-12,SCH04,SCH04-S001,SCH04-FORM4SOUTH,2026-05-12,PRESENT,,TEACHER_APP,2026-05-12T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S001#2026-05-12
ATT#SCH02#SCH02-S011#2026-06-01,SCH02,SCH02-S011,SCH02-FORM3EAST,2026-06-01,PRESENT,,TEACHER_APP,2026-06-01T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S011#2026-06-01
ATT#SCH01#SCH01-S035#2026-06-16,SCH01,SCH01-S035,SCH01-FORM2NORTH,2026-06-16,PRESENT,,TEACHER_APP,2026-06-16T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S035#2026-06-16
ATT#SCH05#SCH05-S011#2026-07-02,SCH05,SCH05-S011,SCH05-FORM2CENTRAL,2026-07-02,PRESENT,,TEACHER_APP,2026-07-02T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S011#2026-07-02
ATT#SCH01#SCH01-S016#2026-06-03,SCH01,SCH01-S016,SCH01-FORM2NORTH,2026-06-03,PRESENT,,TEACHER_APP,2026-06-03T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S016#2026-06-03
ATT#SCH01#SCH01-S023#2026-06-16,SCH01,SCH01-S023,SCH01-FORM2NORTH,2026-06-16,PRESENT,,TEACHER_APP,2026-06-16T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S023#2026-06-16
ATT#SCH04#SCH04-S004#2026-05-04,SCH04,SCH04-S004,SCH04-FORM4SOUTH,2026-05-04,PRESENT,,TEACHER_APP,2026-05-04T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S004#2026-05-04
ATT#SCH02#SCH02-S027#2026-07-06,SCH02,SCH02-S027,SCH02-FORM3EAST,2026-07-06,PRESENT,,TEACHER_APP,2026-07-06T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S027#2026-07-06
ATT#SCH03#SCH03-S011#2026-05-28,SCH03,SCH03-S011,SCH03-FORM1WEST,2026-05-28,PRESENT,,TEACHER_APP,2026-05-28T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S011#2026-05-28
ATT#SCH03#SCH03-S006#2026-05-19,SCH03,SCH03-S006,SCH03-FORM1WEST,2026-05-19,PRESENT,,TEACHER_APP,2026-05-19T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S006#2026-05-19
ATT#SCH02#SCH02-S013#2026-05-08,SCH02,SCH02-S013,SCH02-FORM3EAST,2026-05-08,PRESENT,,TEACHER_APP,2026-05-08T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S013#2026-05-08
ATT#SCH04#SCH04-S031#2026-06-26,SCH04,SCH04-S031,SCH04-FORM4SOUTH,2026-06-26,PRESENT,,TEACHER_APP,2026-06-26T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S031#2026-06-26
ATT#SCH04#SCH04-S004#2026-05-29,SCH04,SCH04-S004,SCH04-FORM4SOUTH,2026-05-29,PRESENT,,TEACHER_APP,2026-05-29T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S004#2026-05-29
ATT#SCH05#SCH05-S039#2026-05-18,SCH05,SCH05-S039,SCH05-FORM2CENTRAL,2026-05-18,PRESENT,,TEACHER_APP,2026-05-18T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH05#SCH05-S039#2026-05-18
ATT#SCH04#SCH04-S028#2026-06-12,SCH04,SCH04-S028,SCH04-FORM4SOUTH,2026-06-12,PRESENT,,TEACHER_APP,2026-06-12T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S028#2026-06-12
ATT#SCH04#SCH04-S030#2026-05-20,SCH04,SCH04-S030,SCH04-FORM4SOUTH,2026-05-20,PRESENT,,TEACHER_APP,2026-05-20T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S030#2026-05-20
ATT#SCH04#SCH04-S020#2026-07-02,SCH04,SCH04-S020,SCH04-FORM4SOUTH,2026-07-02,PRESENT,,TEACHER_APP,2026-07-02T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S020#2026-07-02
ATT#SCH04#SCH04-S005#2026-06-17,SCH04,SCH04-S005,SCH04-FORM4SOUTH,2026-06-17,PRESENT,,TEACHER_APP,2026-06-17T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S005#2026-06-17
ATT#SCH01#SCH01-S026#2026-06-01,SCH01,SCH01-S026,SCH01-FORM2NORTH,2026-06-01,PRESENT,,TEACHER_APP,2026-06-01T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S026#2026-06-01
ATT#SCH03#SCH03-S015#2026-05-25,SCH03,SCH03-S015,SCH03-FORM1WEST,2026-05-25,PRESENT,,TEACHER_APP,2026-05-25T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S015#2026-05-25
ATT#SCH04#SCH04-S013#2026-06-23,SCH04,SCH04-S013,SCH04-FORM4SOUTH,2026-06-23,PRESENT,,TEACHER_APP,2026-06-23T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S013#2026-06-23
ATT#SCH04#SCH04-S013#2026-05-18,SCH04,SCH04-S013,SCH04-FORM4SOUTH,2026-05-18,PRESENT,,TEACHER_APP,2026-05-18T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S013#2026-05-18
ATT#SCH02#SCH02-S003#2026-05-05,SCH02,SCH02-S003,SCH02-FORM3EAST,2026-05-05,PRESENT,,TEACHER_APP,2026-05-05T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH02#SCH02-S003#2026-05-05
ATT#SCH03#SCH03-S035#2026-07-02,SCH03,SCH03-S035,SCH03-FORM1WEST,2026-07-02,PRESENT,,TEACHER_APP,2026-07-02T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH03#SCH03-S035#2026-07-02
ATT#SCH04#SCH04-S024#2026-07-08,SCH04,SCH04-S024,SCH04-FORM4SOUTH,2026-07-08,PRESENT,,TEACHER_APP,2026-07-08T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S024#2026-07-08
ATT#SCH01#SCH01-S018#2026-07-03,SCH01,SCH01-S018,SCH01-FORM2NORTH,2026-07-03,PRESENT,,TEACHER_APP,2026-07-03T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH01#SCH01-S018#2026-07-03
ATT#SCH04#SCH04-S012#2026-06-18,SCH04,SCH04-S012,SCH04-FORM4SOUTH,2026-06-18,PRESENT,,TEACHER_APP,2026-06-18T08:00:00Z,2026-09-19T16:41:32.459Z,2026-09-19T16:41:32.459Z,ATT#SCH04#SCH04-S012#2026-06-18
